id,date_found,type,source,title,company,location,url,posted,tags
5e73db3412d6,2026-05-20,job,RemoteOK,Software Engineer Platform,Benchling,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-platform-benchling-1131626,2026-05-19,software design technical developer happiness code web cloud node leader operational excel biotech engineer engineering digital nomad
e20f950b40a1,2026-05-20,job,WeWorkRemotely,Full-Stack Developer — .NET + React + Azure — Remote (US),ShiftForce LLC,Remote,https://weworkremotely.com/remote-jobs/shiftforce-llc-full-stack-developer-net-react-azure-remote-us,2026-05-20,
e36dece38209,2026-05-20,job,GitHub/NewGrad,Junior Software Engineer,Altamira Technologies,"Wright-Patterson AFB, OH",https://jobs.jobvite.com/altamiracorps/job/oaYaAfwC?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify,0d,
74fef0d00def,2026-05-20,job,GitHub/NewGrad,Software Engineer 1,Latitude AI,"Pittsburgh, PA",https://job-boards.greenhouse.io/latitude/jobs/7942554?utm_source=Simplify&ref=Simplify,0d,
abd6fa2e0708,2026-05-20,job,GitHub/NewGrad,Software Engineer New Grad,NVIDIA,"Remote in USA, Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Software-Engineer--AI-and-DL-Kernel-Libraries---New-College-Grad-2026_JR2018473?utm_source=Simplify&ref=Simplify,0d,
09089a61cc5f,2026-05-20,job,GitHub/NewGrad,Software Engineer 0 - Java,Captivation,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/5225203008?utm_source=Simplify&ref=Simplify,0d,
e1469d21b6d3,2026-05-20,job,GitHub/NewGrad,Software Engineer New Grad,Symbotic,"Burlington, MA",https://symbotic.wd504.myworkdayjobs.com/Symbotic/job/USA-Wilmington--MA---HQ/New-Grad--Software-Engineer_R6770?utm_source=Simplify&ref=Simplify,0d,
f252997e909f,2026-05-20,job,GitHub/NewGrad,Associate Software Engineer 1,BCBST,"Remote in USA, Chattanooga, TN",https://bcbst.wd1.myworkdayjobs.com/en-US/External/job/USA-TN-Chattanooga-Remote/Associate-Software-Engineer-I_R-49305?utm_source=Simplify&ref=Simplify,0d,
4eba3605cf1e,2026-05-20,job,GitHub/NewGrad,Entry Level Software Engineer,General Dynamics Mission Systems,"Brooklyn, OH",https://careers-gdms.icims.com/jobs/72592/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,1d,
65cd9b1dd903,2026-05-20,job,GitHub/NewGrad,Software Engineer 1 - C#/.NET/Database,CoStar Group,"Irvine, CA",https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/Orange-County---CA/Apartmentscom---Software-Engineer-I--C--NET-Database-_R38698?utm_source=Simplify&ref=Simplify,18d,
7956491bc301,2026-05-20,job,GitHub/NewGrad,Software Engineer 1 Intern,Berkshire Hathaway Energy,"5 locations, Des Moines, IA, Richmond, VA, Reno, NV, Sioux City, IA, Davenport, IA",https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004645?utm_source=Simplify&ref=Simplify,1mo,
72b41430275c,2026-05-20,job,GitHub/NewGrad,Software Engineer 1 - Space and RF Sensors,RTX,"Fort Wayne, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/XMLNAME-2026-Full-time---Software-Engineer-I--Space-and-RF-Sensors----Onsite_01846945?utm_source=Simplify&ref=Simplify,0d,
1911c94d6a2e,2026-05-20,job,GitHub/NewGrad,Software Engineer 1,RTX,"Cedar Rapids, IA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IA-CEDAR-RAPIDS-193--1120-Collins-Rd-NE--BLDG193/Software-Engineer-1--ONSITE-_01846079?utm_source=Simplify&ref=Simplify,0d,
ebd1efdb2b1f,2026-05-20,job,GitHub/NewGrad,AI Software Engineer New Grad - Kernel Libraries,NVIDIA,"Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/AI-Software-Engineer--Kernel-Libraries---New-College-Grad-2026_JR2018472?utm_source=Simplify&ref=Simplify,0d,
5a897be54aa1,2026-05-20,job,GitHub/NewGrad,Software Engineer 1 - Space and RF Sensors,RTX,"Fort Wayne, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/XMLNAME-2026-Full-time---Software-Engineer-I---Space-and-RF-Sensors----Onsite_01838274?utm_source=Simplify&ref=Simplify,1mo,
d166d83c3890,2026-05-20,job,GitHub/Internship,Test Software Engineer Intern - Intelligent Creation,ByteDance,"San Jose, CA",https://jobs.bytedance.com/en/position/7637923145297119493/detail?utm_source=Simplify&ref=Simplify,0d,
64587d959257,2026-05-20,job,GitHub/Internship,Raytheon Part Time Co-op-Java Software Engineer,RTX,"State College, PA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-PA-STATE-COLLEGE-5A--302-Science-Park-Rd--BLDG-5A/XMLNAME-2026-Raytheon-Part-Time-Co-op-Java-Software-Engineer--Remote-_01841272?utm_source=Simplify&ref=Simplify,21d,
de7e7a49d62e,2026-05-20,job,GitHub/Internship,Data Engineer Intern,Fairlife,"Chicago, IL",https://job-boards.greenhouse.io/fairlife/jobs/5141448007?utm_source=Simplify&ref=Simplify,0d,
