id,date_found,type,source,title,company,location,url,posted,tags,work_mode
8eca38cecdca,2026-07-31,job,GitHub/NewGrad,Software Engineer 1,Cisco,"San Jose, CA",https://careers.cisco.com/global/en/job/1449197?utm_source=Simplify&ref=Simplify,0d,,onsite
eebabc81fb30,2026-07-31,job,GitHub/NewGrad,Software Engineer 1,RTX,"Fulton, MD",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-MD-FULTON-8170--8170-Maple-Lawn-Blvd--MAPLE-LAWN-Ste-190-200--300/Software-Engineer-I--Onsite-_01856767-1?utm_source=Simplify&ref=Simplify,1d,,onsite
172d5ab912d9,2026-07-31,job,GitHub/NewGrad,Software Engineer 1,Cisco,"San Jose, CA",https://cisco.wd5.myworkdayjobs.com/cisco_careers/job/San-Jose-California-US/Software-Engineer-I--Full-Time----United-States_1449197?utm_source=Simplify&ref=Simplify,1d,,onsite
b5107990111a,2026-07-31,job,GitHub/NewGrad,Software Engineer 1,Amerisure,"Southfield, MI",https://osv-amerisure.wd5.myworkdayjobs.com/Amerisure/job/Farmington-Hills-MI/Software-Engineer-I_JR-002063?utm_source=Simplify&ref=Simplify,1d,,onsite
bd6d59146d18,2026-07-31,job,GitHub/Internship,Software Engineer Intern,Melius,NYC,https://jobs.ashbyhq.com/melius/b61f063a-4f94-4e50-a4ef-05aaab552280/application?embed=true&utm_source=Simplify&ref=Simplify,0d,,onsite
cd54995e74e8,2026-07-31,job,Greenhouse,"Full-Stack Engineer, Human Agent Tooling ","Chime Financial, Inc","San Francisco, CA, USA",https://boards.greenhouse.io/chime/jobs/8606649002?gh_jid=8606649002,2026-07-30,,onsite
f3bfeb3c9cae,2026-07-31,job,Greenhouse,Multinational Digital Infrastructure - Full Stack SW Eng. (US),Anduril Industries,"Quonset, Rhode Island, United States",https://boards.greenhouse.io/andurilindustries/jobs/5134065007?gh_jid=5134065007,2026-05-11,,onsite
db5cf68dd8b8,2026-07-31,job,Greenhouse,Multinational Digital Infrastructure - Full Stack SW Eng. (US),Anduril Industries,"Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/5127000007?gh_jid=5127000007,2026-05-01,,onsite
c28cae458f98,2026-07-31,job,Greenhouse,Multinational Digital Infrastructure - Full Stack SW Eng. (US),Anduril Industries,"Seattle, Washington, United States",https://boards.greenhouse.io/andurilindustries/jobs/5134069007?gh_jid=5134069007,2026-05-11,,onsite
ef3c07a4fe84,2026-07-31,job,Greenhouse,Multinational Digital Infrastructure - Full Stack SW Eng. (US),Anduril Industries,"Costa Mesa, California, United States",https://boards.greenhouse.io/andurilindustries/jobs/5050511007?gh_jid=5050511007,2026-02-19,,onsite
ce2f361f639c,2026-07-31,job,RemoteOK,Software Engineer GO,Wakacje.pl,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-go-wakacje-pl-1135634,2026-07-29,golang dev travel api golang engineer backend digital nomad,remote
140f44b457c6,2026-07-31,job,Arbeitnow,Working Student Software Engineering (d/f/m),limehome,Remote,https://www.arbeitnow.com/jobs/companies/limehome/remote-working-student-software-engineering-munchen-84616,2026-07-31,Tech & Engineering Remote,remote
