id,date_found,type,source,title,company,location,url,posted,tags,work_mode
a2089db42317,2026-08-08,job,GitHub/NewGrad,Software Engineer 1,Torch Technologies,"Huntsville, AL",https://starfish.wd501.myworkdayjobs.com/Careers/job/Huntsville-AL/Software-Engineer-I_R1480?utm_source=Simplify&ref=Simplify,1d,,onsite
b421b8dfdbf6,2026-08-08,job,GitHub/NewGrad,Junior AI Data Engineer,Cortica,"San Diego, CA",https://job-boards.greenhouse.io/allcareers/jobs/8692383002?utm_source=Simplify&ref=Simplify,0d,,onsite
ab5c7f1f741c,2026-08-08,job,GitHub/NewGrad,Software Engineer 1,Fuse Integration,"San Diego, CA",https://apply.workable.com/fuse-integration/j/6B54E80594/apply?utm_source=Simplify&ref=Simplify,0d,,onsite
92efa1203e59,2026-08-08,job,GitHub/Internship,Software Engineer Intern - Summer 2027,Trillium,NYC,https://www.trlm.com/apply/5207089007?gh_jid=5207089007&utm_source=Simplify&ref=Simplify,0d,,onsite
738f1beee739,2026-08-08,job,GitHub/Internship,Software Engineer Intern,Axon,"Boston, MA, Seattle, WA",https://job-boards.greenhouse.io/axontalentcommunity/jobs/7837133003?utm_source=Simplify&ref=Simplify,0d,,onsite
15a1b5dc5fb6,2026-08-08,job,GitHub/Internship,Software Engineering Intern - Product - Platform,The Nuclear Company,"Washington, DC",https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383236008?utm_source=Simplify&ref=Simplify,0d,,onsite
6412322520f7,2026-08-08,job,GitHub/Internship,Frontend Engineer Intern - Ads Interface,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7671211313289398581?utm_source=Simplify&ref=Simplify,0d,,onsite
bc834aa2acf5,2026-08-08,job,GitHub/Internship,Software Engineer Intern - Summer 2027,Atoms,"5 locations, Seattle, WA, SF, LA, NYC, Mountain View, CA",https://job-boards.greenhouse.io/cssmerge/jobs/8687896002?utm_source=Simplify&ref=Simplify,0d,,onsite
009ad8398560,2026-08-08,job,GitHub/Internship,Software Engineer Intern - Summer 2027,Belvedere Trading,"Chicago, IL",https://jobs.lever.co/belvederetrading/10746b3d-1760-4573-9b63-b93f5a5e4fc0/apply?utm_source=Simplify&ref=Simplify,0d,,onsite
99500c63385a,2026-08-08,job,GitHub/Internship,Software Engineering Intern,Chicago Trading Company,"Chicago, IL",https://job-boards.greenhouse.io/ctccampusboard/jobs/4708230005?utm_source=Simplify&ref=Simplify,18d,,onsite
2a92978bf625,2026-08-08,job,GitHub/Internship,AI/ML Engineer Intern,The Nuclear Company,"Washington, DC",https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383231008?utm_source=Simplify&ref=Simplify,0d,,onsite
