id,date_found,type,source,title,company,location,url,posted,tags,work_mode
3fae0e42c077,2026-09-22,job,GitHub/NewGrad,Software Engineer New Grad - Helios,SingleStore,United States,https://job-boards.greenhouse.io/singlestore/jobs/8220882?utm_source=Simplify&ref=Simplify,0d,,onsite
d7d66dd1b14d,2026-09-22,job,GitHub/NewGrad,Software Engineer New Grad - Engine,SingleStore,United States,https://job-boards.greenhouse.io/singlestore/jobs/8220863?utm_source=Simplify&ref=Simplify,0d,,onsite
c5ac9e95098f,2026-09-22,job,GitHub/NewGrad,Software Engineer Junior - REST API Development - Officer,State Street,"Burlington, MA",https://statestreet.wd1.myworkdayjobs.com/Global/job/Burlington-Massachusetts/Software-Engineer---REST-API-Development--Officer_R-798140?utm_source=Simplify&ref=Simplify,1d,,onsite
e8eb029f2d23,2026-09-22,job,GitHub/NewGrad,Entry Level Software Engineer,Cox,"Atlanta, GA",https://cox.wd1.myworkdayjobs.com/Cox_External_Career_Site_1/job/Atlanta-GA/Entry-Level-Software-Engineer---Atlanta--GA_R202682766?utm_source=Simplify&ref=Simplify,1d,,onsite
4d314b4b14b3,2026-09-22,job,GitHub/NewGrad,Entry Level Software Engineer,Amentum,"Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0171030?utm_source=Simplify&ref=Simplify,1d,,onsite
4eac31c3aea5,2026-09-22,job,GitHub/NewGrad,Data Engineer 1,Tyson Foods,"Springdale, AR",https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0483830-1?utm_source=Simplify&ref=Simplify,0d,,onsite
db458978eb69,2026-09-22,job,GitHub/NewGrad,Software Engineer 1,RTX,"Fort Wayne, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/Software-Engineer-I--Onsite-_01871665?utm_source=Simplify&ref=Simplify,20d,,onsite
b313267932b5,2026-09-22,job,GitHub/Internship,Software Engineer Intern,Udig,"Nashville, TN, Richmond, VA",https://udig.com/careers/job-listing/?gh_jid=7999436003&utm_source=Simplify&ref=Simplify,0d,,onsite
68d6359d6bf4,2026-09-22,job,GitHub/Internship,Software Engineer Intern - Simulation Evaluation ML Model,Waymo,"Mountain View, CA",https://careers.withwaymo.com/jobs?gh_jid=8221795&utm_source=Simplify&ref=Simplify,0d,,onsite
3a65db96fcb9,2026-09-22,job,GitHub/Internship,Software Engineer Intern,RTX,"Portsmouth, RI",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-RI-PORTSMOUTH-PS1--1847-W-Main-Rd--NIMITZ-BLDG/Software-Engineering-Intern--Summer-2027-_01876065?utm_source=Simplify&ref=Simplify,0d,,onsite
e0f3c4cbcd36,2026-09-22,job,GitHub/Internship,Software Engineer Intern - Navigation Intelligence and Connectivity Division,Northrop Grumman,"San Diego, CA",https://ngc.wd1.myworkdayjobs.com/Northrop_Grumman_External_Site/job/United-States-California-San-Diego/XMLNAME-2027-Software-Engineer-Intern---San-Diego-CA_R10252150?utm_source=Simplify&ref=Simplify,0d,,onsite
b4774daf62e6,2026-09-22,job,GitHub/Internship,Software Developer Intern - Software Development,GuideStone,"Dallas, TX",https://guidestone.wd1.myworkdayjobs.com/guidestone/job/Dallas-TX/Summer-Intern---Software-Developer_R2129?utm_source=Simplify&ref=Simplify,0d,,onsite
077b01d5a62a,2026-09-22,job,GitHub/Internship,Software Engineer Intern - Technology Healthcare Innovation,Wellmark,"Des Moines, IA",https://jobs.smartrecruiters.com/WellmarkInc/744000150732768?utm_source=Simplify&ref=Simplify,0d,,onsite
27a8cee710a0,2026-09-22,job,GitHub/Internship,AI Engineer Intern - Enterprise AI & Workflow Automation,Philips,"4 locations, Colorado Springs, CO, Plymouth, MN, Bedford, MA, San Diego, CA",https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Plymouth-Minnesota-United-States/Intern---AI-Engineer--Enterprise-AI---Workflow-Automation---Plymouth--MN---Summer-2027_591991?utm_source=Simplify&ref=Simplify,1d,,onsite
bad4546a848c,2026-09-22,job,GitHub/Internship,Forward Deployed AI Engineer Intern,Nebraska Medicine,"Omaha, NE",https://nebraskamed.wd5.myworkdayjobs.com/nm/job/Omaha-NE/Intern---Forward-Deployed-AI-Engineer_REQ-38924?utm_source=Simplify&ref=Simplify,1d,,onsite
04642e9077e8,2026-09-22,job,GitHub/Internship,Software Engineering Intern - Summer Internship Program,Live Oak Bank,"Wilmington, NC",https://liveoakbancshares.wd1.myworkdayjobs.com/en-US/Live_Oak/job/Wilmington-NC/Summer-2027-Intern--Software-Engineering_R-002643?utm_source=Simplify&ref=Simplify,1d,,onsite
