id,date_found,type,source,title,company,location,url,posted,tags,work_mode
7d2467147550,2026-07-14,job,GitHub/NewGrad,Software Engineer 1 - Model and Simulation,Katalyst Space Technologies,"Broomfield, CO",https://job-boards.greenhouse.io/katalyst/jobs/6115352004?utm_source=Simplify&ref=Simplify,0d,,onsite
f6b033fb8f8d,2026-07-14,job,GitHub/NewGrad,Software Engineer 1,Huntington Ingalls Industries,"Newport News, VA",https://careers.huntingtoningalls.com/job/Newport-News-SOFTWARE-ENGINEER-1-Virg/1408046100/?ats=successfactors&utm_source=Simplify&ref=Simplify,0d,,onsite
a06c331a863a,2026-07-14,job,GitHub/NewGrad,Software Engineer 1,DoorDash,"5 locations, Seattle, WA, SF, LA, NYC, Sunnyvale, CA",https://job-boards.greenhouse.io/doordashusa/jobs/7263610?utm_source=Simplify&ref=Simplify,0d,,onsite
662c7ec79ebc,2026-07-14,job,GitHub/NewGrad,Software Engineer New Grad,WhatNot,NYC,https://jobs.ashbyhq.com/whatnot/bc8f8c7f-2c4c-4f43-a238-953568c101b8/application?utm_source=Simplify&ref=Simplify,0d,,onsite
4a838ed8830d,2026-07-14,job,GitHub/NewGrad,Forward Deployed Software Engineer New Grad,Northslope Technologies,NYC,https://jobs.ashbyhq.com/northslope-technologies/80b82167-7101-4f78-9006-7755dd2ca01e/application?utm_source=Simplify&ref=Simplify,0d,,onsite
7c4d74b0b8b5,2026-07-14,job,GitHub/NewGrad,Entry Level Software Engineer - C++,Akuna Capital University,"Chicago, IL",https://www.akunacapital.com/careers/job/8013085/?gh_jid=8013085&utm_source=Simplify&ref=Simplify,0d,,onsite
0b7f3f3a3894,2026-07-14,job,GitHub/NewGrad,Backend Compiler Engineer New Grad,NVIDIA,"Canada, Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Backend-Compiler-Engineer---New-College-Grad-2026_JR2021242?utm_source=Simplify&ref=Simplify,1d,,onsite
dd3a20194291,2026-07-14,job,GitHub/NewGrad,Junior Software Engineer Cloud Cost Optimization,Humana,"10 locations, Boston, MA, Louisville, KY, Nashville, TN, Tampa, FL, Dallas, TX, Chicago, IL, Charlotte, NC, Fort Lauderdale, FL, NYC, Atlanta, GA",https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/Louisville-KY/Junior-Software-Engineer--Cloud-Cost-Optimization_R-413873-1?utm_source=Simplify&ref=Simplify,1d,,onsite
a0494b714439,2026-07-14,job,GitHub/NewGrad,Junior Software Engineer,mthree,"Newark, DE",https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4622899006?utm_source=Simplify&ref=Simplify,2mo,,onsite
4ea31ec3a709,2026-07-14,job,GitHub/NewGrad,Data Engineer 1,Yes Energy,"Boston, MA, Boulder, CO",https://job-boards.greenhouse.io/yesenergy/jobs/5344484008?utm_source=Simplify&ref=Simplify,0d,,onsite
9580a38c7877,2026-07-14,job,GitHub/Internship,Software Developer Intern,DRW,"Chicago, IL",https://job-boards.greenhouse.io/drweng/jobs/7992936?utm_source=Simplify&ref=Simplify,0d,,onsite
089b33eed235,2026-07-14,job,Greenhouse,"Full Stack Engineer, Link",Stripe,"New York, New York",https://stripe.com/jobs/search?gh_jid=8062305,2026-07-13,,onsite
29c283cb282c,2026-07-14,job,Greenhouse,"Software Engineer I, Entry-Level (Graduation Date: Fall 2025-Summer 2026)",DoorDash USA,"New York, NY; San Francisco, CA; Los Angeles, CA; Seattle, WA; Sunnyvale, CA",https://job-boards.greenhouse.io/doordashusa/jobs/7263610,2025-10-01,,onsite
3bfd27d9e7ab,2026-07-14,job,Himalayas,"Software Engineer, Benchmarking",Epoch AI,Remote,https://himalayas.app/companies/epoch-ai/jobs/software-engineer-benchmarking,,,remote
977b051c8e27,2026-07-14,job,GitHub/NewGrad,Software Engineer 1,Varsity Brands,Remote in USA,https://careers.varsitybrands.com/global/en/job/JR114172?utm_source=Simplify&ref=Simplify,0d,,remote
fc6f611f9ae6,2026-07-14,job,GitHub/NewGrad,System Software Engineer New Grad - Dynamo-Triton Inference Server,NVIDIA,"Remote in USA, Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/System-Software-Engineer--Dynamo-Triton-Inference-Server---New-College-Grad-2026_JR2020767?utm_source=Simplify&ref=Simplify,1d,,remote
