id,date_found,type,source,title,company,location,url,posted,tags,work_mode
34a0a995b210,2026-08-03,job,GitHub/NewGrad,Junior AI Software Engineer,Texas Sports Academy,"Austin, TX",https://apply.workable.com/texas-sports-academy-main/j/CC2A1186D4/apply?utm_source=Simplify&ref=Simplify,0d,,onsite
ae78e548fc32,2026-08-03,job,GitHub/NewGrad,Software Engineer New Grad - AI Infrastructure-Compute Efficiency & Scheduling,ByteDance,"Seattle, WA",https://jobs.bytedance.com/en/position/7668799020705679669/detail?utm_source=Simplify&ref=Simplify,0d,,onsite
4b61a93e0d2b,2026-08-03,job,GitHub/NewGrad,Software Engineer New Grad - Traffic Infrastructure,ByteDance,"San Jose, CA",https://jobs.bytedance.com/en/position/7665849950984194309/detail?utm_source=Simplify&ref=Simplify,0d,,onsite
6255ef390273,2026-08-03,job,GitHub/NewGrad,Software Engineer New Grad - AI Infra Compute,ByteDance,"Seattle, WA",https://jobs.bytedance.com/en/position/7667303429264115973/detail?utm_source=Simplify&ref=Simplify,0d,,onsite
6434b052ca69,2026-08-03,job,GitHub/NewGrad,Backend and Infrastructure Software Engineer New Grad - Dev Infra,ByteDance,"San Jose, CA",https://jobs.bytedance.com/en/position/7667894766036322565/detail?utm_source=Simplify&ref=Simplify,0d,,onsite
11609d37d5d9,2026-08-03,job,GitHub/NewGrad,Software Engineer New Grad - Founders Initiatives,Retell AI,"SF, Redwood City, CA",https://jobs.ashbyhq.com/retell-ai/ea775189-0496-43d8-a386-df8148265463/application?embed=true&utm_source=Simplify&ref=Simplify,0d,,onsite
8cc14ec1e888,2026-08-03,job,GitHub/NewGrad,Software Engineer 0,IntelliGenesis,"Annapolis Junction, MD",http://intelligenesis.applytojob.com/apply/JgkJsYNePv/Software-Engineer-Level-0?utm_source=Simplify&ref=Simplify,0d,,onsite
fbfb60d0e1b5,2026-08-03,job,GitHub/NewGrad,Junior Software Engineer,WonderBotz,"Princeton, NJ",https://wonderbotz.applytojob.com/apply/RrI9QanYDY/Junior-Software-Engineer?utm_source=Simplify&ref=Simplify,0d,,onsite
559539d95f61,2026-08-03,job,GitHub/NewGrad,Junior Software Developer - .NET,HarmonyTech,"Herndon, VA",https://harmonytech.applytojob.com/apply/uhDb8hMR9P/Junior-Software-Developer-NET?utm_source=Simplify&ref=Simplify,0d,,onsite
1a7e5f4a1258,2026-08-03,job,GitHub/NewGrad,Entry Level Software Developer,EAi Technologies,"Vienna, VA",https://eaiti.applytojob.com/apply/Y16NUsHVnd/Entry-Level-Software-Developer?utm_source=Simplify&ref=Simplify,0d,,onsite
