id,date_found,type,source,title,company,location,url,posted,tags
53b1a0094d83,2026-06-12,job,RemoteOK,Junior Software Engineer,StatusNeo,Remote,https://remoteOK.com/remote-jobs/remote-junior-software-engineer-statusneo-1133251,2026-06-11,dev junior engineer digital nomad
a0f3bac9fb93,2026-06-12,job,RemoteOK,Backend Developer,360Dialog,Remote,https://remoteOK.com/remote-jobs/remote-backend-developer-360dialog-1133242,2026-06-11,dev backend digital nomad
ac0113d9074f,2026-06-12,job,RemoteOK,Backend Developer,360Dialog,Remote,https://remoteOK.com/remote-jobs/remote-backend-developer-360dialog-1133201,2026-06-11,analyst teaching customer support data science content writing junior excel sys admin non tech dev backend digital nomad
013d03a335a6,2026-06-12,job,RemoteOK,Backend Developer,360Dialog,Remote,https://remoteOK.com/remote-jobs/remote-backend-developer-360dialog-1133200,2026-06-11,analyst teaching customer support data science content writing junior excel sys admin non tech dev backend digital nomad
a5d2e4d67a79,2026-06-12,job,Arbeitnow,DevOps / Platform Engineer (m/w/d) REMOTE,Pont Connects e.K.,Remote,https://www.arbeitnow.com/jobs/companies/pont-connects-ek/devops-platform-engineer-remote-dusseldorf-9008,2026-06-12,Remote IT
cc47e4236aa8,2026-06-12,job,Arbeitnow,Fullstack Softwareentwickler (m/w/d),TecFox GmbH,Remote,https://www.arbeitnow.com/jobs/companies/tecfox-gmbh/fullstack-softwareentwickler-braunschweig-225705,2026-06-12,Remote Software Development
18f74936d440,2026-06-12,job,Arbeitnow,Frontend Softwareentwickler (m/w/d),TecFox GmbH,Remote,https://www.arbeitnow.com/jobs/companies/tecfox-gmbh/frontend-softwareentwickler-braunschweig-324607,2026-06-12,Remote Software Development
1368b9a9d04d,2026-06-12,job,WeWorkRemotely,Localization Web Developer,NinjaOne,Remote,https://weworkremotely.com/remote-jobs/ninjaone-localization-web-developer,2026-06-11,
413288649263,2026-06-12,job,GitHub/NewGrad,Software Engineer 1,LivaNova,"Webster, TX",https://livanova.wd5.myworkdayjobs.com/search/job/Houston-Texas-United-States/Software-Engineer-I_JR-14571?utm_source=Simplify&ref=Simplify,0d,
a2f40535185f,2026-06-12,job,GitHub/NewGrad,Software Engineer 1,RTX,"El Segundo, CA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CA-EL-SEGUNDO-E01--2000-E-El-Segundo-Blvd--BLDG-E01/XMLNAME-2026-Raytheon-Full-Time--Software-Engineer-I---Onsite-_01852152?utm_source=Simplify&ref=Simplify,0d,
6d60e4b79e93,2026-06-12,job,GitHub/NewGrad,Entry Level Software Engineer,The Boeing Company,"Oklahoma City, OK",https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Tinker-AFB-OK/Entry-Level-Software-Engineer_JR2026511280-1?utm_source=Simplify&ref=Simplify,0d,
7a7c06a5ebf6,2026-06-12,job,GitHub/NewGrad,Entry Level Software Engineer,The Boeing Company,"Oklahoma City, OK",https://boeing.wd1.myworkdayjobs.com/external_subsidiary/job/USA---Tinker-AFB-OK/Entry-Level-Software-Engineer_JR2026511280?utm_source=Simplify&ref=Simplify,0d,
adfc13219393,2026-06-12,job,GitHub/NewGrad,Software Engineer – Entry Level,General Dynamics Mission Systems,"Whitsett, NC",https://careers-gdms.icims.com/jobs/73056/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,
5aa135d5538b,2026-06-12,job,GitHub/NewGrad,Data Engineer 1,University of Texas at Austin,"Austin, TX",https://utaustin.wd1.myworkdayjobs.com/UTstaff/job/AUSTIN-TX/Data-Engineer-I_R_00045134?utm_source=Simplify&ref=Simplify,0d,
52b5d2c3d20d,2026-06-12,job,GitHub/NewGrad,Data Engineer 1 - Data Services,Bonterra,Remote in USA,https://bonterra.wd1.myworkdayjobs.com/bonterratech/job/Remote-United-States/EA-Data-Engineer-1--Data-Services_R2026-0253?utm_source=Simplify&ref=Simplify,0d,
43204f46eb93,2026-06-12,job,GitHub/Internship,Software Engineer Intern,Ultra Intelligence and Communications,"Austin, TX",https://ultra.wd3.myworkdayjobs.com/uiccareers/job/Austin-TX-United-States/Software-Engineer-Intern_REQ-12111?utm_source=Simplify&ref=Simplify,0d,
7c324f333271,2026-06-12,job,GitHub/Internship,Software Engineer Intern,Ultra,"Austin, TX",https://ultra.wd3.myworkdayjobs.com/ultra-careers/job/Austin-TX-United-States/Software-Engineer-Intern_REQ-12111-1?utm_source=Simplify&ref=Simplify,0d,
1119b1b99c91,2026-06-12,job,GitHub/Internship,AI Software Engineer Intern,Intel,"Phoenix, AZ",https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Arizona-Phoenix/AI-Software-Engineering-Intern_JR0282641?utm_source=Simplify&ref=Simplify,0d,
d16918923525,2026-06-12,job,GitHub/Internship,Generator Application Engineer Associate Internship,Primetals Technologies,"Orlando, FL",https://mhicareers.com/job/Orlando-Generator-Application-Engineer-Associate-Internship-FL-32809/1403541233/?ats=successfactors&utm_source=Simplify&ref=Simplify,0d,
786627da812d,2026-06-12,job,GitHub/Internship,Data Engineer Co-op,The Campbell's Company,"Philadelphia, PA",https://campbellsoup.wd5.myworkdayjobs.com/externalcareers_globalsite/job/USA---NJ---Camden/Data-Engineer--DA-AI-Co-Op_Req-65837?utm_source=Simplify&ref=Simplify,0d,
00a02d2fd0ab,2026-06-12,job,GitHub/Internship,Data Engineer Co-op,The Campbell's Company,"Philadelphia, PA",https://campbellsoup.wd5.myworkdayjobs.com/externalcareers_globalsite/job/USA---NJ---Camden/Data-Engineer--DA-AI-Co-Op_Req-65839?utm_source=Simplify&ref=Simplify,0d,
