id,date_found,type,source,title,company,location,url,posted,tags
2e97461df54d,2026-07-07,job,Arbeitnow,Backend Developer (Python),Persohap GmbH,Remote,https://www.arbeitnow.com/jobs/companies/persohap-gmbh/backend-developer-python-berlin-104687,2026-07-06,Remote IT
66fe2a366a17,2026-07-07,job,Arbeitnow,Product Engineer*in / Fullstack Developer*in,myProtectify,Remote,https://www.arbeitnow.com/jobs/companies/myprotectify/product-engineerin-fullstack-developerin-berlin-331891,2026-07-06,Remote Software Development
88e14f533270,2026-07-07,job,Himalayas,Front End Developer,Helios Worldwide,Remote,https://himalayas.app/companies/helios-worldwide/jobs/front-end-developer,,
42b8a7cf1a5e,2026-07-07,job,Himalayas,Data Engineer - Data Foundry Engineer,Tractian,Remote,https://himalayas.app/companies/tractian/jobs/data-engineer-data-foundry-engineer,,
d25d066ce847,2026-07-07,job,Jobicy,Deployed Software Engineer,Fieldguide,USA,https://jobicy.com/jobs/148815-deployed-software-engineer,2026-07-06,Software Engineering
0fc77bd535bd,2026-07-07,job,GitHub/NewGrad,Software Engineer New Grad,Cerebras,"Toronto, ON, Canada, Sunnyvale, CA",https://jobs.ashbyhq.com/cerebras/99c289fa-8fc6-49f7-b7e8-78ac4e9d99ac/application?utm_source=Simplify&ref=Simplify,0d,
354006c7d3c1,2026-07-07,job,GitHub/NewGrad,Entry Level Software Engineer,Amentum,"Fredericksburg, VA, Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0165144?utm_source=Simplify&ref=Simplify,0d,
9e7bcd7aad0e,2026-07-07,job,GitHub/NewGrad,Software Engineer 1,RTX,"Anaheim, CA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CA-FULLERTON-676--1801-Hughes-Dr--BLDG-676/Software-Engineer-I---Onsite-_01857157?utm_source=Simplify&ref=Simplify,0d,
a17824791c1d,2026-07-07,job,GitHub/NewGrad,Trajectory Simulation Software Engineer 1,United Launch Alliance,"Centennial, CO",https://jobs.ulalaunch.com/job/Centennial-Trajectory-Simulation-Software-Engineer-1-CO-80112/1406055600/?ats=successfactors&utm_source=Simplify&ref=Simplify,0d,
9e2fa009f9f8,2026-07-07,job,GitHub/NewGrad,Entry Level Software Engineer,General Dynamics Mission Systems,"Manassas, VA",https://careers-gdms.icims.com/jobs/73314/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,11d,
b77d77574fbe,2026-07-07,job,GitHub/NewGrad,Software Engineer 1 - AI,Chamberlain Group,"Western Springs, IL",https://chamberlain.wd1.myworkdayjobs.com/Chamberlain_Group/job/Oak-Brook-IL/Software-Engineer-I---AI_JR30291?utm_source=Simplify&ref=Simplify,3mo,
fa4a5d460b48,2026-07-07,job,GitHub/NewGrad,Software Engineer New Grad,Cerebras,"Sunnyvale, CA",https://jobs.ashbyhq.com/cerebras/987d7f64-c957-4c8f-b89d-2f9d64738507/application?utm_source=Simplify&ref=Simplify,0d,
8c99e868f64e,2026-07-07,job,GitHub/Internship,Software Engineer Intern,Charles River Analytics,"Cambridge, MA",https://cra.com/job-listings/job?gh_jid=8047653&utm_source=Simplify&ref=Simplify,0d,
