id,date_found,type,source,title,company,location,url,posted,tags
c5237aca4eb7,2026-06-15,job,Arbeitnow,"DevOps Engineer (remote, full-time)",Lumiform,Remote,https://www.arbeitnow.com/jobs/companies/lumiform/devops-engineer-remote-full-time-berlin-79636,2026-06-15,Remote Engineering
2f788e9abcbe,2026-06-15,job,Himalayas,"Full-Stack Developer (Python, React, AI)",Huzzle,Remote,https://himalayas.app/companies/huzzle/jobs/full-stack-developer-python-react-ai,,
30456be62e3b,2026-06-15,job,Himalayas,Data Engineer – Databricks & Lakehouse (Power BI Environment),Hillenbrand,Remote,https://himalayas.app/companies/hillenbrand/jobs/data-engineer-databricks-lakehouse-power-bi-environment,,
61f87bf6579c,2026-06-15,job,GitHub/Internship,Backend Software Engineer Intern - Media Platform,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7538301580093720840?utm_source=Simplify&ref=Simplify,0d,
8fbe7ab43541,2026-06-15,job,GitHub/Internship,Software Engineer Intern - Monetization Technology,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7561941583777941813?utm_source=Simplify&ref=Simplify,0d,
