id,date_found,type,source,title,company,location,url,posted,tags,work_mode,job_type,experience,category
ad0c61b28039,2026-09-24,job,LinkedIn,Software Development Engineer,Workday,"Mason, OH",https://www.linkedin.com/jobs/view/software-development-engineer-at-workday-4432331549,2026-09-24,,onsite,Full-time,Entry-level,swe
a22a72f6dcdf,2026-09-24,job,LinkedIn,Associate Software Engineer- Java full stack,REI Systems,"Sterling, VA",https://www.linkedin.com/jobs/view/associate-software-engineer-java-full-stack-at-rei-systems-4471637029,2026-09-24,,onsite,Full-time,Entry-level,swe
23b3d0d5265a,2026-09-24,job,LinkedIn,Software Engineer,Booz Allen Hamilton,"Beavercreek, OH",https://www.linkedin.com/jobs/view/software-engineer-at-booz-allen-hamilton-4434768030,2026-09-24,,onsite,Full-time,Entry-level,swe
89cb06f3293c,2026-09-24,job,LinkedIn,Full-Stack Software Engineer,JeffreyM Consulting,"New York, NY",https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-jeffreym-consulting-4467625634,2026-09-24,,onsite,Full-time,Entry-level,swe
95ae632aa868,2026-09-24,job,LinkedIn,Software Engineer,Wells Fargo,"Charlotte, NC",https://www.linkedin.com/jobs/view/software-engineer-at-wells-fargo-4471438339,2026-09-24,,onsite,Full-time,Entry-level,swe
847c79c3277f,2026-09-24,job,LinkedIn,Software Engineer- full stack Java,REI Systems,"Sterling, VA",https://www.linkedin.com/jobs/view/software-engineer-full-stack-java-at-rei-systems-4471626522,2026-09-24,,onsite,Full-time,Entry-level,swe
3ae6a474c490,2026-09-24,job,LinkedIn,Software Engineer Stf - E4,Lockheed Martin,"Littleton, CO",https://www.linkedin.com/jobs/view/software-engineer-stf-e4-at-lockheed-martin-4451250017,2026-09-24,,onsite,Full-time,Entry-level,swe
351431d7283f,2026-09-24,job,LinkedIn,React Engineer,Air Apps,"San Francisco, CA",https://www.linkedin.com/jobs/view/react-engineer-at-air-apps-4469727677,2026-09-24,,onsite,Full-time,Entry-level,frontend
0f3bd90d8e21,2026-09-24,job,LinkedIn,Frontend Web Developer,Air Apps,"San Francisco, CA",https://www.linkedin.com/jobs/view/frontend-web-developer-at-air-apps-4469733319,2026-09-24,,onsite,Full-time,Entry-level,frontend
95ce899d1cd3,2026-09-24,job,LinkedIn,"Frontend Engineer, AI Observability & Evals Platform",LangChain,"Cambridge, MA",https://www.linkedin.com/jobs/view/frontend-engineer-ai-observability-evals-platform-at-langchain-4453068271,2026-09-24,,onsite,Full-time,Entry-level,frontend
7e5f5a36af5f,2026-09-24,job,LinkedIn,Software Engineer - Front End (New York),Edra,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-front-end-new-york-at-edra-4443628391,2026-09-24,,onsite,Full-time,Entry-level,frontend
e8582f4f319d,2026-09-24,job,LinkedIn,React Developer,Bright Vision Technologies,"Austin, TX",https://www.linkedin.com/jobs/view/react-developer-at-bright-vision-technologies-4471171550,2026-09-24,,onsite,Full-time,Entry-level,frontend
6f746efb26cb,2026-09-24,job,LinkedIn,"Frontend Engineer, Payments & Risk",Stripe,"San Francisco, CA",https://www.linkedin.com/jobs/view/frontend-engineer-payments-risk-at-stripe-4454594497,2026-09-24,,onsite,Full-time,Entry-level,frontend
8aac2d1b694e,2026-09-24,job,LinkedIn,Front End Software Engineer,Candid Health,"Denver, CO",https://www.linkedin.com/jobs/view/front-end-software-engineer-at-candid-health-4429122044,2026-09-24,,onsite,Full-time,Entry-level,frontend
81ca5cb860df,2026-09-24,job,LinkedIn,"UI Engineer, Seattle",Taxbit,"Seattle, WA",https://www.linkedin.com/jobs/view/ui-engineer-seattle-at-taxbit-4436878857,2026-09-24,,onsite,Full-time,Entry-level,frontend
265e7f3bde36,2026-09-24,job,LinkedIn,UI Developer,Two Six Technologies,"Herndon, VA",https://www.linkedin.com/jobs/view/ui-developer-at-two-six-technologies-4443053901,2026-09-24,,onsite,Full-time,Entry-level,frontend
f356e667ad28,2026-09-24,job,LinkedIn,Full Stack Engineer - Crucible,Firestorm,"San Diego, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-crucible-at-firestorm-4461349369,2026-09-24,,onsite,Full-time,Entry-level,swe
