id,date_found,type,source,title,company,location,url,posted,tags,work_mode
b201070eb85e,2026-08-21,job,Jobicy,"AI Software Engineer II, Government Technology",ICON plc,USA,https://jobicy.com/jobs/151298-ai-software-engineer-ii-government-technology,2026-08-21,Software Engineering,onsite
2ffc60956fee,2026-08-21,job,Jobicy,Data Platform Engineer,Astronomer,USA,https://jobicy.com/jobs/151314-data-platform-engineer,2026-08-21,Software Engineering,onsite
71c27d36ca40,2026-08-21,job,Jobicy,"Software Engineer, Security Observability",OpenAI,USA,https://jobicy.com/jobs/151224-software-engineer-security-observability,2026-08-20,Cybersecurity,onsite
fee40895927c,2026-08-21,job,GitHub/NewGrad,Software Engineer 1 / Software Engineer 2 - Salesforce focused,Principal Financial Group,"Des Moines, IA",https://careers.principal.com/jobs/51898?icims=1&utm_source=Simplify&ref=Simplify,0d,,onsite
bfc0436a491a,2026-08-21,job,GitHub/NewGrad,Software Engineer 1,RTX,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/fr-CA/Private_Posting_No_TMP/job/US-AZ-TUCSON-805--1151-E-Hermans-Rd--BLDG-805/Software-Engineer-I--Onsite-_01868189-1?utm_source=Simplify&ref=Simplify,1d,,onsite
91671db88a64,2026-08-21,job,GitHub/NewGrad,Software Engineer 1,RTX,"Indianapolis, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-INDIANAPOLIS-206--3939-Priority-Way-S-Dr--PRIORITY-BLDG-6/Software-Engineer-I--Onsite-_01867061?utm_source=Simplify&ref=Simplify,1d,,onsite
15786b7f5bd0,2026-08-21,job,GitHub/Internship,Software Engineer Intern/Co-op - Masters,AMD,"San Jose, CA, Santa Clara, CA",https://careers.amd.com/jobs/91176?icims=1&utm_source=Simplify&ref=Simplify,0d,,onsite
449c15a31601,2026-08-21,job,GitHub/Internship,Software Engineer Intern/Co-op,AMD,"6 locations, Rochester, NY, Austin, TX, Longmont, CO, Fishkill, NY, Fort Collins, CO, Boxborough, MA",https://careers.amd.com/jobs/90947?icims=1&utm_source=Simplify&ref=Simplify,0d,,onsite
03c097807f91,2026-08-21,job,GitHub/Internship,Software Engineer Intern/Co-op,AMD,"San Jose, CA, Santa Clara, CA",https://careers.amd.com/jobs/90891?icims=1&utm_source=Simplify&ref=Simplify,0d,,onsite
d5893b515b6a,2026-08-21,job,GitHub/Internship,Software Engineer Intern/Co-op,AMD,"6 locations, Rochester, NY, Austin, TX, Longmont, CO, Fishkill, NY, Fort Collins, CO, Boxborough, MA",https://careers.amd.com/jobs/91180?icims=1&utm_source=Simplify&ref=Simplify,0d,,onsite
d56b3bc9a970,2026-08-21,job,GitHub/Internship,Business Technology Solutions Intern - Data & Software Engineering - Undergraduate,AbbVie,"North Chicago, IL",https://jobs.smartrecruiters.com/AbbVie/3743990014697918?utm_source=Simplify&ref=Simplify,0d,,onsite
fe207d03a03d,2026-08-21,job,GitHub/Internship,Software Engineer Intern - Summer 2027,RTX,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/fr-CA/Private_Posting_No_TMP/job/US-AZ-TUCSON-801--1151-E-Hermans-Rd--BLDG-801-External-Site/Software-Engineer-Intern--Summer-2027-_01867664?utm_source=Simplify&ref=Simplify,1d,,onsite
dd5c34f92680,2026-08-21,job,GitHub/Internship,Software Engineer Co-op - Enterprise Finance Applications - Summer 2027,Fifth Third Bank,"Cincinnati, OH",https://fifththird.wd5.myworkdayjobs.com/en-US/53careers/job/Cincinnati-OH/Software-Engineer-Co-Op---Enterprise-Finance-Applications---Summer-2027_R71588?utm_source=Simplify&ref=Simplify,1d,,onsite
219927aa99e3,2026-08-21,job,GitHub/Internship,Software Engineer Intern,Old Mission,"Chicago, IL",https://www.oldmissioncapital.com/careers/?gh_jid=7796180003&utm_source=Simplify&ref=Simplify,1mo,,onsite
f3a9d1710266,2026-08-21,job,GitHub/Internship,Technology Intern - Data Engineering,Devon Energy,"Houston, TX, Oklahoma City, OK",https://wd5.myworkdaysite.com/en-US/recruiting/devonenergy/Careers/job/Oklahoma-City-OK/Technology-Summer-Intern-2027_R26264-1?utm_source=Simplify&ref=Simplify,1d,,onsite
a1c6b739e526,2026-08-21,job,Greenhouse,"Full Stack Engineer, Bridge",Stripe,"San Francisco, NYC",https://stripe.com/jobs/search?gh_jid=8142764,2026-08-20,,onsite
581c9ce01898,2026-08-21,job,Greenhouse,Full Stack Software Engineer - Simulation & Flight Systems,SpaceX,"Hawthorne, CA",https://boards.greenhouse.io/spacex/jobs/8731959002?gh_jid=8731959002,2026-08-20,,onsite
02ad31f66b33,2026-08-21,job,Greenhouse,"Associate AI Engineer, Finance Transformation",SoFi,San Francisco - CA; New York City - NY; Salt Lake City - UT,https://sofi.com/careers/job/7871448003?gh_jid=7871448003,2026-08-20,,onsite
2ba3444e877f,2026-08-21,job,Greenhouse,Software QA Engineer I,Axon,"Seattle, Washington, United States",https://job-boards.greenhouse.io/axon/jobs/7908209003,2026-08-20,,onsite
284c34342330,2026-08-21,job,RemoteOK,Consultant Implementation Engineer,Harbor,Remote,https://remoteOK.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,2026-08-20,consulting technical accounting legal golang engineer,remote
795c788834a8,2026-08-21,job,Arbeitnow,Werkstudent:in Simulation & Application Engineering (m/w/d),Simcon,Deutschland Remote,https://www.arbeitnow.com/jobs/companies/simcon/remote-werkstudentin-simulation-application-engineering-449835,2026-08-21,,remote
b9c020c76930,2026-08-21,job,Arbeitnow,"Intermediate Software Engineer, Security Factory: Vulnerability Management",gitlab,Remote,https://www.arbeitnow.co.uk/jobs/companies/gitlab/remote-intermediate-software-engineer-security-factory-vulnerability-management-85833,2026-08-21,Sec Engineering,remote
3a3283eeee72,2026-08-21,job,Arbeitnow,Solutions Engineer - EMEA,Redpanda Data,UK - Remote,https://www.arbeitnow.co.uk/jobs/companies/redpanda-data/remote-solutions-engineer-emea-387821,2026-08-20,Sales,remote
9b6b9bacd81c,2026-08-21,job,Himalayas,Blockchain Site Reliability Engineer,InfStones,Remote,https://himalayas.app/companies/infstones/jobs/blockchain-site-reliability-engineer-4202744987,,,remote
fa6c4f93cde5,2026-08-21,job,Himalayas,PLM Solutions Engineer,Bright Vision Technologies,Remote,https://himalayas.app/companies/bright-vision-technologies/jobs/plm-solutions-engineer-7807911369,,,remote
