id,date_found,type,source,title,company,location,url,posted,tags,work_mode
e062ead188c2,2026-09-13,job,GitHub/NewGrad,Software Engineer 1,Klaviyo,"Boston, MA",https://job-boards.greenhouse.io/klaviyocampus/jobs/7989324003?utm_source=Simplify&ref=Simplify,0d,,onsite
748b1c05efda,2026-09-13,job,GitHub/Internship,Software Engineer Intern - Summer 2027,Klaviyo,"Boston, MA",https://job-boards.greenhouse.io/klaviyocampus/jobs/7989364003?utm_source=Simplify&ref=Simplify,0d,,onsite
82375ad5c8a5,2026-09-13,job,RemoteOK,Software Engineer,Mirantis,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-mirantis-1137387,2026-09-12,golang dev engineer digital nomad,remote
33654da46e18,2026-09-13,job,Arbeitnow,Data Engineer (all genders),Eraneos,"Hamburg, München, Düsseldorf, remote",https://www.arbeitnow.com/jobs/companies/eraneos/remote-data-engineer-all-genders-12735,2026-09-13,Data Engineering Cloud Engineering Snowflake Databricks ETL Python Azure AWS GCP Data Warehouse ELT SQL Consutling,remote
3ccd5645ce87,2026-09-13,job,Arbeitnow,Software Engineer,Scarlet,Remote,https://www.arbeitnow.co.uk/jobs/companies/scarlet/remote-software-engineer-396352,2026-09-13,Software Engineering,remote
8f6e298a6730,2026-09-13,job,Arbeitnow,Full Stack Engineer  - Cloud & SaaS Integrations,Senior Full-Stack Engineer - AI Cost Visibility - Greenhouse,,https://www.arbeitnow.co.uk/jobs/companies/senior-full-stack-engineer-ai-cost-visibility-greenhouse/full-stack-engineer-cloud-saas-integrations-423100,2026-09-13,Engineering,remote
6871e4af2d3d,2026-09-13,job,Arbeitnow,Data Engineer - Cloud & SaaS Integrations,Senior Full-Stack Engineer - AI Cost Visibility - Greenhouse,,https://www.arbeitnow.co.uk/jobs/companies/senior-full-stack-engineer-ai-cost-visibility-greenhouse/data-engineer-cloud-saas-integrations-140820,2026-09-13,Engineering,remote
0411a0054414,2026-09-13,job,Arbeitnow,AI Software Engineer,"Job Application for Product Manager, Procure-to-Pay at Zone & Co",,https://www.arbeitnow.co.uk/jobs/companies/job-application-for-product-manager-procure-to-pay-at-zone-co/ai-software-engineer-64813,2026-09-13,Engineering,remote
945fd3ac4b28,2026-09-13,job,Arbeitnow,Specialised AI Engineer,"Senior Manager, Internal Communications - Greenhouse",,https://www.arbeitnow.co.uk/jobs/companies/senior-manager-internal-communications-greenhouse/specialised-ai-engineer-112275,2026-09-13,AI Infra Product,remote
223df2e1a10f,2026-09-13,job,Himalayas,Coupa Integration Engineer,Bright Vision Technologies,Remote,https://himalayas.app/companies/bright-vision-technologies/jobs/coupa-integration-engineer-4821710881,,,remote
cab59d03cec4,2026-09-13,job,Himalayas,Software Developer,Nationwide IT Services,Remote,https://himalayas.app/companies/nationwide-it-services/jobs/software-developer,,,remote
c05fe8c1f154,2026-09-13,job,Himalayas,"Software Engineer, Networking (Edge)",Tailscale,Remote,https://himalayas.app/companies/tailscale/jobs/software-engineer-networking-edge-6399786950,,,remote
c38bcdf5a46e,2026-09-13,job,Himalayas,Full Stack Developer (AI-First),Full Circle,Remote,https://himalayas.app/companies/full-circle/jobs/full-stack-developer-ai-first-2902343008,,,remote
