id,date_found,type,source,title,company,location,url,posted,tags
e205cc541b4c,2026-07-08,job,Arbeitnow,"Freelance Software Engineer (Full Stack: Node.js, React, TypeScript)",Atmen Solutions GmbH,Remote,https://www.arbeitnow.com/jobs/companies/atmen-solutions-gmbh/freelance-software-engineer-full-stack-nodejs-react-typescript-munich-431194,2026-07-08,Remote Software Development
84f42b32a4a2,2026-07-08,job,Himalayas,Microsoft Power Platform Engineer,Seneca Holdings,Remote,https://himalayas.app/companies/seneca-holdings/jobs/microsoft-power-platform-engineer,,
2e8564f2fb3d,2026-07-08,job,Himalayas,Fullstack-Entwickler:in Webentwicklung / Fokus Patientenformulare (m/w/d) – full,zollsoft GmbH,Remote,https://himalayas.app/companies/zollsoft-gmbh/jobs/fullstack-entwickler-in-webentwicklung-fokus-patientenformulare-m-w-d-full,,
1e59c019ec60,2026-07-08,job,Himalayas,CAD Integrations Backend Engineer,Foundation EGI,Remote,https://himalayas.app/companies/foundation-egi/jobs/cad-integrations-backend-engineer,,
c73158e41344,2026-07-08,job,GitHub/NewGrad,Junior Software Engineer - AI Agent Platform,Motorola,"Alberta, Canada, Remote in Canada",https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Ontario-Remote-Work/Junior-Software-Engineer--AI-Agent-Platform_R66146?utm_source=Simplify&ref=Simplify,0d,
e3386952636d,2026-07-08,job,GitHub/NewGrad,Junior Software Developer - CDN Operations Engineering,Comcast,"Cherry Hills Village, CO",https://comcast.wd5.myworkdayjobs.com/Comcast_Careers/job/CO---Englewood-183-Inverness-Dr-West/Junior-Software-Development-Engineer---CDN-OpsEng_R440501-1?utm_source=Simplify&ref=Simplify,0d,
7bd3ea2ce643,2026-07-08,job,GitHub/NewGrad,Software Engineer New Grad - Backend,Otter.ai,"Mountain View, CA",https://otter.ai/careers?gh_jid=7798264003&utm_source=Simplify&ref=Simplify,0d,
51ce05affcfa,2026-07-08,job,GitHub/NewGrad,Software Engineer 2 – New College Grad,Applied Materials,"Santa Clara, CA",https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/Software-Engineer-II--New-College-Grad---Santa-Clara--CA-_R2622398?utm_source=Simplify&ref=Simplify,0d,
5d438c7853f3,2026-07-08,job,GitHub/NewGrad,Software Engineer 1 - Video Platform,SimpliSafe,"Boston, MA",https://job-boards.greenhouse.io/simplisafe/jobs/8049510?utm_source=Simplify&ref=Simplify,0d,
938eafd63dd5,2026-07-08,job,GitHub/NewGrad,Software Engineer 1 - Device Control,SimpliSafe,"Boston, MA",https://job-boards.greenhouse.io/simplisafe/jobs/8049515?utm_source=Simplify&ref=Simplify,0d,
6a24777c5602,2026-07-08,job,GitHub/NewGrad,Entry Level Simulation Software Engineer,The Boeing Company,"Hazelwood, MO",https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Berkeley-MO/Entry-Level-Simulation-Software-Engineer_JR2026516853-1?utm_source=Simplify&ref=Simplify,0d,
19f8b6d5b95e,2026-07-08,job,GitHub/NewGrad,Entry Level Simulation Software Engineer,The Boeing Company,"Hazelwood, MO",https://boeing.wd1.myworkdayjobs.com/external_subsidiary/job/USA---Berkeley-MO/Entry-Level-Simulation-Software-Engineer_JR2026516853?utm_source=Simplify&ref=Simplify,0d,
cbe31a67ce98,2026-07-08,job,GitHub/NewGrad,Software Engineer 1 - Full-Stack,RoadRunner Recycling,Remote in USA,https://job-boards.greenhouse.io/roadrunner/jobs/4307451009?utm_source=Simplify&ref=Simplify,0d,
a2cd0e3971ad,2026-07-08,job,GitHub/NewGrad,Software Engineer 1,Danaher Corporation,"Indianapolis, IN",https://danaher.wd1.myworkdayjobs.com/danaherjobs/job/USA---Indianapolis---Lakeview-Parkway---Multiple-OpCo/Software-Engineer-I_R1312947?utm_source=Simplify&ref=Simplify,0d,
ef9b02e333b7,2026-07-08,job,GitHub/NewGrad,Software Engineer 1 - Test Solutions,RTX,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/fr-CA/Private_Posting_No_TMP/job/US-AZ-TUCSON-801--1151-E-Hermans-Rd--BLDG-801-External-Site/Software-Engineer-I----Test-Solutions---Onsite_01836492-1?utm_source=Simplify&ref=Simplify,2mo,
4f3993e25be3,2026-07-08,job,GitHub/NewGrad,Software Engineer 1 Embedded Communications,RTX,"Fort Wayne, IN",https://globalhr.wd5.myworkdayjobs.com/fr-CA/Private_Posting_No_TMP/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/Software-Engineer-I-Embedded-Communications-ONSITE_01857820?utm_source=Simplify&ref=Simplify,0d,
