id,date_found,type,source,title,company,location,url,posted,tags
816fa6563d4d,2026-05-18,job,Arbeitnow,(Remote) Founding Full-Stack Engineer,alago,Remote,https://www.arbeitnow.com/jobs/companies/alago/remote-founding-full-stack-engineer-munich-268363,2026-05-18,Remote Engineering
15acd4ad08bc,2026-05-18,job,Arbeitnow,Platform Engineer (m/w/d) mit Karriereambitionen!,Auralis Group,Remote,https://www.arbeitnow.com/jobs/companies/auralis-group/platform-engineer-mit-karriereambitionen-markt-indersdorf-324194,2026-05-18,Remote Engineering
2d2b360d24b2,2026-05-18,job,Arbeitnow,Frontendentwickler (m/w/d) (Ref.Nr.: 46730),Wavestone Germany AG,Remote,https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/frontendentwickler-refnr-46730-munich-443776,2026-05-18,Remote IT
db92f7d9124e,2026-05-18,job,Himalayas,Clinical Provider (Sweden),name,Remote,https://himalayas.app/companies/intellect-com/jobs/clinical-provider-sweden,,
9b1d363a745c,2026-05-18,job,WeWorkRemotely,Full Stack Engineer (AI-Forward),Chief Rebel,Remote,https://weworkremotely.com/remote-jobs/chief-rebel-full-stack-engineer-ai-forward,2026-05-18,
3b03d48908f8,2026-05-18,job,GitHub/NewGrad,Junior Software Engineer for Naval Research Technology,Amentum,"Fredericksburg, VA, Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Fredericksburg/Junior-Software-Engineer-for-Naval-Research-Technology_R0161491-1?utm_source=Simplify&ref=Simplify,0d,
dcc56b6e5e41,2026-05-18,job,GitHub/NewGrad,Entry Level Software Engineer,Amentum,"Fredericksburg, VA, Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Fredericksburg/Entry-Level-Software-Engineer_R0161488?utm_source=Simplify&ref=Simplify,0d,
d3ee67965068,2026-05-18,job,GitHub/NewGrad,New Grads - Software Engineer - Computer Vision,WeRide,"San Jose, CA",https://jobs.lever.co/weride/d87ddf51-0def-436f-a178-135481b88f96/apply?utm_source=Simplify&ref=Simplify,3mo,
342e5eb3300f,2026-05-18,job,GitHub/NewGrad,New Grads - General Software Engineer,WeRide,"San Jose, CA",https://jobs.lever.co/weride/94562b95-f574-4a60-bfbf-0cafb5c8ea3d/apply?utm_source=Simplify&ref=Simplify,3mo,
9c0c4962758e,2026-05-18,job,GitHub/Internship,Software Developer – Intern,General Dynamics Information Technology,"Albany, NY",https://gdit.wd5.myworkdayjobs.com/gdit_earlytalent/job/USA-NY-Albany/Summer-2026-Software-Developer--Intern-_RQ216779-2?utm_source=Simplify&ref=Simplify,1mo,
