id,date_found,type,source,title,company,location,url,posted,tags
24b169846db7,2026-06-23,job,Arbeitnow,Junior Marketing Manager Sweden (m/f/d),Mammutmarsch UG,Remote,https://www.arbeitnow.com/jobs/companies/mammutmarsch-ug/junior-marketing-manager-sweden-berlin-188046,2026-06-23,Remote Marketing and Communication
3b8c541d44bd,2026-06-23,job,Arbeitnow,DevOps Engineer - Security Focus (m/w/d),MoPla Solutions GmbH,Remote,https://www.arbeitnow.com/jobs/companies/mopla-solutions-gmbh/devops-engineer-security-focus-gersthofen-368940,2026-06-23,Remote IT
043bc4a1dec2,2026-06-23,job,Arbeitnow,Backend Developer Fintech - 100k. - (m/w/d),Stockert,Remote,https://www.arbeitnow.com/jobs/companies/stockert/backend-developer-fintech-hohenbrunn-246222,2026-06-23,Remote Software Development
eea23880b0d3,2026-06-23,job,GitHub/NewGrad,Software Engineer 1 - Compiler - Annapurna Labs,Amazon,"Seattle, WA",https://amazon.jobs/en/jobs/10438055/software-engineer-i-compiler-annapurna-labs?utm_source=Simplify&ref=Simplify,0d,
e34596a88f60,2026-06-23,job,GitHub/NewGrad,Software Engineer 1,DAT Freight & Analytics,"Seattle, WA",https://careers.dat.com/jobs/6099144004?gh_jid=6099144004&utm_source=Simplify&ref=Simplify,0d,
4fd23f342058,2026-06-23,job,GitHub/NewGrad,Software Engineer 1,Sony Interactive Entertainment,"San Diego, CA",https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/6099045004?utm_source=Simplify&ref=Simplify,0d,
e69bcfb94f1b,2026-06-23,job,GitHub/NewGrad,Entry Level Software Engineer,Cox,"Burlington, VT",https://cox.wd1.myworkdayjobs.com/Cox_External_Career_Site_1/job/Burlington-VT/Entry-Level-Software-Engineer--Burlington--VT-_R202679034?utm_source=Simplify&ref=Simplify,0d,
d7e2814a7cbb,2026-06-23,job,GitHub/NewGrad,Entry Level Software Engineer,Cox,"Irvine, CA",https://cox.wd1.myworkdayjobs.com/Cox_External_Career_Site_1/job/Irvine-CA/Entry-Level-Software-Engineer--Irvine--CA-_R202679078-1?utm_source=Simplify&ref=Simplify,0d,
71dc98460502,2026-06-23,job,GitHub/NewGrad,Software Engineer 1,WGU,"Salt Lake City, UT",https://wgu.wd5.myworkdayjobs.com/en-US/External/job/Salt-Lake-City-UT/Software-Engineer-I_JR-025400?utm_source=Simplify&ref=Simplify,11d,
3334b52f855c,2026-06-23,job,GitHub/Internship,AI & Data Engineering Apprentice,Simple Technology Solutions,Remote in USA,https://job-boards.greenhouse.io/simpletechnologysolutions/jobs/6099047004?utm_source=Simplify&ref=Simplify,0d,
