id,date_found,type,source,title,company,location,url,posted,tags
4fac821f0e25,2026-06-19,job,Arbeitnow,Full-Stack Developer (m/f/d),Joy_,Remote,https://www.arbeitnow.com/jobs/companies/joy/full-stack-developer-berlin-338700,2026-06-18,Remote Software Development
6fa4fc8617c9,2026-06-19,job,Himalayas,Experienced Software Engineer,Automattic,Remote,https://himalayas.app/companies/automattic/jobs/experienced-software-engineer,,
13ca3a04e0b7,2026-06-19,job,Himalayas,"Software Engineer Internship - Testing, Technical Analysis, and Automation (WFH ",Seeka Technology,Remote,https://himalayas.app/companies/seeka-technology/jobs/software-engineer-internship-testing-technical-analysis-and-automation-wfh,,
86b32e3a5625,2026-06-19,job,Himalayas,Software Engineer IV,ACV Auctions,Remote,https://himalayas.app/companies/acv-auctions/jobs/software-engineer-iv,,
23969f0ec55c,2026-06-19,job,GitHub/NewGrad,Junior Communications Systems Software Engineer,KBR,"Beavercreek, OH",https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Beavercreek-Ohio/Junior-Communications-Systems-Software-Engineer_R2125329?utm_source=Simplify&ref=Simplify,0d,
7fa2c4f8caef,2026-06-19,job,GitHub/NewGrad,Software Engineer 2 New Grad,Cadence Design Systems,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/BOSTON-02/Software-Engineer-II--New-College-Grad-2026-_R54895-2?utm_source=Simplify&ref=Simplify,0d,
ae3fb7f624d2,2026-06-19,job,GitHub/NewGrad,Software Engineer 2 New Grad,Cadence Design Systems,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/University_Talent_NCG/job/BOSTON-02/Software-Engineer-II--New-College-Grad-2026-_R54895?utm_source=Simplify&ref=Simplify,0d,
0da520fd3219,2026-06-19,job,GitHub/NewGrad,Software Engineer 2 New Grad,Cadence Design Systems,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/University_Talent/job/BOSTON-02/Software-Engineer-II--New-College-Grad-2026-_R54895-1?utm_source=Simplify&ref=Simplify,0d,
580a355ff719,2026-06-19,job,GitHub/NewGrad,Software Engineer New Grad,State Street,"Burlington, MA",https://statestreet.wd1.myworkdayjobs.com/Global/job/Burlington-Massachusetts/Software-Engineer--CRD--New-Graduate_R-792654?utm_source=Simplify&ref=Simplify,0d,
98e4ab9c0e02,2026-06-19,job,GitHub/NewGrad,Software Engineer New Grad,State Street,"Burlington, MA",https://statestreet.wd1.myworkdayjobs.com/Global/job/Burlington-Massachusetts/Software-Engineer--CRD--New-Graduate_R-792647?utm_source=Simplify&ref=Simplify,0d,
ac86e6c9c568,2026-06-19,job,GitHub/NewGrad,Product Software Engineer 1,The Walt Disney Company,"Glendale, CA",https://disney.wd5.myworkdayjobs.com/disneycareer/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599?utm_source=Simplify&ref=Simplify,0d,
6f56b99988fa,2026-06-19,job,GitHub/NewGrad,NLM Software Engineer 1,Lexical Intelligence,"Bethesda, MD",https://lexical.bamboohr.com/careers/73/?utm_source=Simplify&ref=Simplify,1d,
9f539fc63415,2026-06-19,job,GitHub/Internship,Software Engineer Intern - Payments & Wallets,Gen Digital,"Mountain View, CA",https://jobs.ashbyhq.com/gen-digital/0818d1f1-e3c0-4a8a-afb8-72dd1265a13d/application?utm_source=Simplify&ref=Simplify,0d,
8e7194324e7f,2026-06-19,job,GitHub/Internship,Software Engineer Intern,Copart,"Dallas, TX",https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441?utm_source=Simplify&ref=Simplify,0d,
f4d3ec61ea6a,2026-06-19,job,GitHub/Internship,Software Engineer Intern,General Dynamics Mission Systems,"Scottsdale, AZ",https://careers-gdms.icims.com/jobs/73191/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,1d,
80d5711fb5f8,2026-06-19,job,GitHub/Internship,Software Engineer Intern - Mecop,Ralliant,"Beaverton, OR",https://ibwujb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/8465?utm_source=Simplify&ref=Simplify,1d,
