id,date_found,type,source,title,company,location,url,posted,tags
ef4e2de1eb78,2026-05-31,job,Arbeitnow,"Data Management & AI Analyst im Gesundheitswesen (m/w/d) Data Management, 100% Remote & Digital (Weiterbildung)",DataSmart Point GmbH,Remote,https://www.arbeitnow.com/jobs/companies/datasmart-point-gmbh/data-management-ai-analyst-im-gesundheitswesen-data-management-100-remote-digital-weiterbildung-berlin-362455,2026-05-30,Remote Business Analyst
df743a8323a0,2026-05-31,job,Himalayas,Data Engineer II,name,Remote,https://himalayas.app/companies/judi-health/jobs/data-engineer-ii,,
64cbfddef9c1,2026-05-31,job,Himalayas,AI Engineer (m/w/d),name,Remote,https://himalayas.app/companies/icb-gmbh/jobs/ai-engineer-m-w-d-5969541057,,
