id,date_found,type,source,title,company,location,url,posted,tags
405cc3aaec4c,2026-07-02,job,Arbeitnow,Backend & DevOps Engineer,amentis solutions GmbH,Remote,https://www.arbeitnow.com/jobs/companies/amentis-solutions-gmbh/backend-devops-engineer-tholey-50075,2026-07-02,Remote Software Development
84841ac82210,2026-07-02,job,Himalayas,Fullstack Engineer (m/w/d),nuwacom GmbH,Remote,https://himalayas.app/companies/nuwacom-gmbh/jobs/fullstack-engineer-m-w-d-433077673,,
0cb240906a85,2026-07-02,job,GitHub/NewGrad,Research Software Engineer 1,Northrop Grumman,"Aurora, CO",https://ngc.wd1.myworkdayjobs.com/Northrop_Grumman_External_Site/job/United-States-Colorado-Aurora/Research-Software-Engineer-Level-1_R10237693?utm_source=Simplify&ref=Simplify,0d,
90cdb343d37d,2026-07-02,job,GitHub/NewGrad,Software Engineer 1 - Mainframe - Cobol,U.S. Bank,"5 locations, Brookfield, WI, Hopkins, MN, Irving, TX, Atlanta, GA, Cincinnati, OH",https://usbank.wd1.myworkdayjobs.com/US_Bank_Careers/job/Brookfield-WI/Software-Engineer-I---Mainframe--Cobol-_2026-0018566?utm_source=Simplify&ref=Simplify,0d,
f4b85ca33235,2026-07-02,job,GitHub/NewGrad,Junior Software Developer,Leidos,"Bethesda, MD",https://leidos.wd5.myworkdayjobs.com/External/job/Bethesda-MD/Jr-Software-Developer_R-00179871?utm_source=Simplify&ref=Simplify,0d,
1e1e70252b2a,2026-07-02,job,GitHub/NewGrad,Software Engineer 1 - SW Applications,Brain Corp,"San Diego, CA",https://braincorp.com/open-positions?gh_jid=8617160002&utm_source=Simplify&ref=Simplify,0d,
1c1d83b57d25,2026-07-02,job,GitHub/NewGrad,Software Engineer 1,Varsity Brands,"Memphis, TN",https://careers.varsitybrands.com/global/en/job/JR113976?utm_source=Simplify&ref=Simplify,0d,
0f980f9f79c6,2026-07-02,job,GitHub/NewGrad,Software Engineer 1,Adtran,"Atlanta, GA",https://adtran.wd3.myworkdayjobs.com/adtran/job/Atlanta-GA/Software-Engineer-I_R005655-1?utm_source=Simplify&ref=Simplify,0d,
b2873d364866,2026-07-02,job,GitHub/NewGrad,Ground Software Engineer 1,United Launch Alliance,"Centennial, CO",https://jobs.ulalaunch.com/job/Centennial-Ground-Software-Engineer-1-CO-80112/1404920100/?ats=successfactors&utm_source=Simplify&ref=Simplify,0d,
5a247d951747,2026-07-02,job,GitHub/NewGrad,Junior Backend Software Engineer - Nutshell CRM - AWS & React Native,WebFX,"Ann Arbor, MI",https://jobs.lever.co/webfx/497bb548-b7d7-4aff-b87b-da9dcc8fbcc8/apply?utm_source=Simplify&ref=Simplify,14d,
3282288a0e32,2026-07-02,job,GitHub/NewGrad,Software Engineer New College Grad,Applied Materials,"Austin, TX, Santa Clara, CA",https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063?utm_source=Simplify&ref=Simplify,2mo,
9bc935d0ffc1,2026-07-02,job,GitHub/Internship,Software Engineer Intern,Palo Alto Networks,"Palo Alto, CA",https://paloaltonetworks.wd5.myworkdayjobs.com/panwexternalcareers/job/Office---USA---CA---Headquarters/Intern---Software-Engineer--Bachelor-s-_JR-010190?utm_source=Simplify&ref=Simplify,0d,
