id,date_found,type,source,title,company,location,url,posted,tags,work_mode
60afb0a89ad5,2026-08-04,job,GitHub/NewGrad,Frontend Software Engineer New Grad - Ads Interface,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668569995571726597?utm_source=Simplify&ref=Simplify,0d,,onsite
06bc2ae6bda2,2026-08-04,job,GitHub/NewGrad,Software Engineer New Grad,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668701361741007109?utm_source=Simplify&ref=Simplify,0d,,onsite
b0990153e6d7,2026-08-04,job,GitHub/NewGrad,Software Engineer New Grad - Ads Infrastructure,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668879883938203957?utm_source=Simplify&ref=Simplify,0d,,onsite
89521f47cc09,2026-08-04,job,GitHub/NewGrad,Software Engineer 1,RTX,"Fullerton, CA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CA-FULLERTON-676--1801-Hughes-Dr--BLDG-676/Software-Engineer-I--Onsite-_01864064?utm_source=Simplify&ref=Simplify,0d,,onsite
b7bd9f79b64e,2026-08-04,job,GitHub/NewGrad,Software Engineer 1 - User Systems,SimpliSafe,"Boston, MA",https://job-boards.greenhouse.io/simplisafe/jobs/8095181?utm_source=Simplify&ref=Simplify,0d,,onsite
d919210a2db7,2026-08-04,job,GitHub/NewGrad,Entry Level Software Engineer,Pariveda Solutions,"9 locations, Seattle, WA, Houston, TX, SF, LA, Dallas, TX, Philadelphia, PA, Chicago, IL, NYC, Atlanta, GA",https://jobs.ashbyhq.com/pariveda/cc4fc0be-c414-4aba-a15d-64daa03476a0/application?embed=true&utm_source=Simplify&ref=Simplify,0d,,onsite
6b26bad70f95,2026-08-04,job,GitHub/NewGrad,Junior Software Engineer,SOCOTEC Global,NYC,https://jobs.smartrecruiters.com/Socotec/744000141326319?utm_source=Simplify&ref=Simplify,0d,,onsite
0a3447284cdb,2026-08-04,job,GitHub/NewGrad,Junior Data Engineer,Waystar,"Atlanta, GA",https://waystar.wd1.myworkdayjobs.com/Waystar/job/Atlanta-GA/Data-Engineer_R3322?utm_source=Simplify&ref=Simplify,1d,,onsite
315ce0a4d20b,2026-08-04,job,GitHub/NewGrad,Software Engineer 1 - Generative AI Applications,Robert Half,NYC,https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/NEW-YORK-MIDTOWN/Software-Engineer-I--Generative-AI-Applications_JR-261077?utm_source=Simplify&ref=Simplify,1d,,onsite
5e8e53c51662,2026-08-04,job,GitHub/Internship,Backend Software Engineer Intern - LIVE Foundation Governance Engineering,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7667935150530840837?utm_source=Simplify&ref=Simplify,0d,,onsite
8cab70b5f07b,2026-08-04,job,GitHub/Internship,Frontend Engineer Intern - Global CRM,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7669711026846058757?utm_source=Simplify&ref=Simplify,0d,,onsite
83e4ed1cce6e,2026-08-04,job,GitHub/Internship,Software Engineer Intern,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7669712589169117445?utm_source=Simplify&ref=Simplify,0d,,onsite
cd147cf2db60,2026-08-04,job,GitHub/Internship,Software Engineer Intern - Intelligent Creation-Camera,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668862422178318597?utm_source=Simplify&ref=Simplify,0d,,onsite
e5c962116bb1,2026-08-04,job,GitHub/Internship,Software Engineer Intern - Transaction Platform,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7669943120351906053?utm_source=Simplify&ref=Simplify,0d,,onsite
30e1a2b622a6,2026-08-04,job,GitHub/Internship,Software Engineer Intern - AI Platform,ByteDance,"San Jose, CA",https://jobs.bytedance.com/en/position/7668212952030841093/detail?utm_source=Simplify&ref=Simplify,0d,,onsite
bedf775eb9de,2026-08-04,job,GitHub/Internship,Backend Software Engineer Intern - Product Infrastructure,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7667935633764370741?utm_source=Simplify&ref=Simplify,0d,,onsite
cae4e587883f,2026-08-04,job,GitHub/Internship,Software Engineer Intern - Effects Performance,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668725183121000757?utm_source=Simplify&ref=Simplify,0d,,onsite
1f80c14e2e06,2026-08-04,job,GitHub/Internship,Backend Software Engineer Intern - Global E-Commerce,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668834837268138293?utm_source=Simplify&ref=Simplify,0d,,onsite
8a24da81e6e2,2026-08-04,job,GitHub/Internship,Backend Software Engineer Intern - Global E-Commerce,TikTok,"Seattle, WA",https://lifeattiktok.com/search/7668834837268416821?utm_source=Simplify&ref=Simplify,0d,,onsite
eeb9bce5508f,2026-08-04,job,GitHub/Internship,Software Engineer Intern - Ads Interface,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7669705785962727733?utm_source=Simplify&ref=Simplify,0d,,onsite
032f2cafdfd5,2026-08-04,job,GitHub/Internship,Software Engineer Intern,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7668921505254410549?utm_source=Simplify&ref=Simplify,0d,,onsite
bcb28a51b1e9,2026-08-04,job,GitHub/Internship,Software Engineer Intern - Global CRM,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7669711844487399685?utm_source=Simplify&ref=Simplify,0d,,onsite
0874f207ac64,2026-08-04,job,GitHub/Internship,Software Engineering Intern/Co-op,SpaceX,"8 locations, Palo Alto, CA, Bastrop, TX, Irvine, CA, Cape Canaveral, FL, Brownsville, TX, Redmond, WA, McGregor, TX, Hawthorne, CA",https://boards.greenhouse.io/spacex/jobs/8621757002?utm_source=Simplify&ref=Simplify,0d,,onsite
3520fe47ee0a,2026-08-04,job,GitHub/Internship,Software Engineer Intern,Chicago Trading Company,"Chicago, IL",https://job-boards.greenhouse.io/chicagotradingcampus/jobs/4716932005?utm_source=Simplify&ref=Simplify,0d,,onsite
84efaedce82b,2026-08-04,job,GitHub/Internship,Software Engineer Intern,Netsmart,"Overland Park, KS",https://ntst.wd1.myworkdayjobs.com/careers/job/Overland-Park-KS/Software-Engineer-Intern--Summer-2027-Internship-_R015667?utm_source=Simplify&ref=Simplify,1d,,onsite
b96250e597fa,2026-08-04,job,Greenhouse,Full Stack Engineer (Application Software),SpaceX,"Palo Alto, CA",https://boards.greenhouse.io/spacex/jobs/8675232002?gh_jid=8675232002,2026-08-03,,onsite
f2c3cb1f2eec,2026-08-04,job,Greenhouse,"Software Engineer I - New Grad, SF",Samsara,San Francisco - SF9,https://www.samsara.com/company/careers/roles/8097343?gh_jid=8097343,2026-08-03,,onsite
33e979bf42d8,2026-08-04,job,Arbeitnow,Integration Solutions Engineer (m/w/d) – Remote (EU),epilot GmbH,Remote,https://www.arbeitnow.com/jobs/companies/epilot-gmbh/integration-solutions-engineer-remote-eu-koln-222982,2026-08-04,Tech Remote,remote
9466b147870d,2026-08-04,job,Himalayas,"Software Engineer, New Grad",micro1,Remote,https://himalayas.app/companies/micro1/jobs/software-engineer-new-grad,,,remote
2a7bd7bf504c,2026-08-04,job,Ashby,Frontend Engineer,Supabase,Remote,https://jobs.ashbyhq.com/supabase/f048dd68-63f8-4f98-9860-3d5a43c09a01,2026-07-29,Engineering,remote
