id,date_found,type,source,title,company,location,url,posted,tags
73dfcb68ced4,2026-07-03,job,RemoteOK,Full Stack Developer first UK,Better Futures Multi Academy Trust,Remote,https://remoteOK.com/remote-jobs/remote-full-stack-developer-first-uk-better-futures-multi-academy-trust-1134395,2026-07-02,dev ruby full stack react native mobile
d510fbc29183,2026-07-03,job,RemoteOK,Junior UI Engineer,Arabian Private Holdings,Remote,https://remoteOK.com/remote-jobs/remote-junior-ui-engineer-arabian-private-holdings-1134413,2026-07-02,design react consulting technical dev web dev javascript css html exec senior junior sys admin engineer digital nomad
a63f95902513,2026-07-03,job,Arbeitnow,Forward Deployed AI Engineer (m/w/d),Rockstardevelopers GmbH,Remote,https://www.arbeitnow.com/jobs/companies/rockstardevelopers-gmbh/forward-deployed-ai-engineer-stuttgart-329959,2026-07-03,Remote Software Development
07c333304277,2026-07-03,job,GitHub/NewGrad,Software Engineer New Grad,IXL Learning,"Raleigh, NC",https://www.ixl.com/company/jobs?gh_jid=8615717002&utm_source=Simplify&ref=Simplify,0d,
415060c4df1e,2026-07-03,job,GitHub/NewGrad,Software Engineer New Grad,IXL Learning,"San Mateo, CA",https://www.ixl.com/company/jobs?gh_jid=8615710002&utm_source=Simplify&ref=Simplify,0d,
632d903223a8,2026-07-03,job,GitHub/NewGrad,Software Engineer 1 C#,McDonald's,"Chicago, IL",https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-C-IL-60607/1340292800/?ats=successfactors&utm_source=Simplify&ref=Simplify,1mo,
1711243ddc68,2026-07-03,job,GitHub/NewGrad,Software Engineer 1 Embedded Communications,RTX,"Fort Wayne, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/Software-Engineer-I-Embedded-Communications-ONSITE_01857004?utm_source=Simplify&ref=Simplify,0d,
