id,date_found,type,source,title,company,location,url,posted,tags,work_mode
e9691ab6bfad,2026-08-18,job,GitHub/NewGrad,Software Engineer 0 - Entry-Level Software Engineering,WOOD Consulting Services,"Fort Meade, MD",https://jobs-woodcons.icims.com/jobs/14759/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,,onsite
c4ac7f48f1b6,2026-08-18,job,GitHub/NewGrad,Software Engineer - IS&T Early Career Opportunities,Apple,"Cupertino, CA, Sunnyvale, CA",https://jobs.apple.com/en-us/details/200678510?utm_source=Simplify&ref=Simplify,0d,,onsite
c7831f949ee5,2026-08-18,job,GitHub/NewGrad,Software Engineer New Grad,Charta Health,"SF, NYC",https://jobs.ashbyhq.com/chartahealth/9403a4cc-1bac-4798-9d82-be31ba8b42a0/application?embed=true&utm_source=Simplify&ref=Simplify,0d,,onsite
1569cd9310c8,2026-08-18,job,GitHub/NewGrad,Software Engineer New Grad,Nexthop.ai,"Santa Clara, CA",https://nexthopai.bamboohr.com/careers/24/?utm_source=Simplify&ref=Simplify,0d,,onsite
a1adcdb9c2d7,2026-08-18,job,GitHub/NewGrad,Entry Level Software Engineer,CACI,"Annapolis Junction, MD",https://jobs.smartrecruiters.com/NextCenturyCorporation/106031601?utm_source=Simplify&ref=Simplify,0d,,onsite
94f5422acdc9,2026-08-18,job,GitHub/NewGrad,Software Engineer 1,Honeywell,"Richmond, VA",https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/155860?utm_source=Simplify&ref=Simplify,0d,,onsite
f0bdbbe4a9a3,2026-08-18,job,GitHub/NewGrad,Software Engineer 1 - Observability & Insights,The Walt Disney Company,"Glendale, CA, NYC",https://disney.wd5.myworkdayjobs.com/disneycareer/job/Glendale-CA-USA/Software-Engineer-I_10157423?utm_source=Simplify&ref=Simplify,1d,,onsite
109337ab2fa6,2026-08-18,job,GitHub/NewGrad,Junior Data Engineer - Multiple Teams,Smarter Agent,"Collingswood, NJ",https://jobs.smartrecruiters.com/SmarterAgent/743999706496509?utm_source=Simplify&ref=Simplify,0d,,onsite
db9727f6fcee,2026-08-18,job,GitHub/Internship,Software Engineer Intern - TikTok Search Data Infra,TikTok,"San Jose, CA",https://lifeattiktok.com/search/7675128776856029445?utm_source=Simplify&ref=Simplify,0d,,onsite
9c9070d5377c,2026-08-18,job,GitHub/Internship,AI Engineer Intern - Enterprise Technology Services,American Express,"Atlanta, GA",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26012000?utm_source=Simplify&ref=Simplify,0d,,onsite
