id,date_found,type,source,title,company,location,url,posted,tags,work_mode
5df739afc92d,2026-08-23,job,Jobicy,Full Stack Engineer,Roboflow,USA,https://jobicy.com/jobs/151415-full-stack-engineer,2026-08-22,Software Engineering,onsite
2f43a32f85a6,2026-08-23,job,Jobicy,Customer Solutions Engineer,TRM Labs,USA,https://jobicy.com/jobs/151402-customer-solutions-engineer-3,2026-08-22,Technical Support,onsite
56afab402ede,2026-08-23,job,GitHub/NewGrad,Software Engineer 1,RTX,"Aurora, CO",https://globalhr.wd5.myworkdayjobs.com/fr-CA/Private_Posting_No_TMP/job/US-CO-AURORA-S75--16800-E-Centretech-Pkwy--BLDG-S75/Software-Engineer-I--Onsite-_01868305?utm_source=Simplify&ref=Simplify,3d,,onsite
e612555e096f,2026-08-23,job,GitHub/Internship,Application Engineering Intern - Summer 2027,Springs Window Fashions,"Long Island City, Queens, NY",https://careers-springswindowfashions.icims.com/jobs/12893/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,,onsite
620145091c00,2026-08-23,job,RemoteOK,DESARROLLADOR FULL STACK,Kruger NearShore LLC - Rekluti,Remote,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,2026-08-22,full stack front end python dev testing web dev quality assurance devops c cloud nosql git flutter angular mobile golang backend digital nomad,remote
dc362bdaf4c2,2026-08-23,job,Arbeitnow,"Site Reliability Engineer (m/w/d) – Konstanz, Berlin oder remote",Seitenbau Gmbh,Remote,https://www.arbeitnow.co.uk/jobs/companies/seitenbau-gmbh/site-reliability-engineer-konstanz-berlin-oder-remote-75299,2026-08-23,Infrastruktur Site Reliability Cloudnativ Kubernetes Infrastructure-as-Code Pulumi,remote
8dd64df78719,2026-08-23,job,Himalayas,Freelance Full-Stack Web App Developer,Mindrift,Remote,https://himalayas.app/companies/mindrift/jobs/freelance-full-stack-web-app-developer-705157308,,,remote
747f069919a3,2026-08-23,job,Jobicy,"Software Engineer, Sustaining Engineering",Canonical Ltd.,Anywhere,https://jobicy.com/jobs/149524-software-engineer-sustaining-engineering,2026-08-22,Software Engineering,remote
